project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-05-11T05:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.244,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T05:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.244,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T05:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.244,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T05:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T06:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T06:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T06:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T06:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T07:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T07:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T07:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T07:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T08:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T08:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T08:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T08:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T09:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T09:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T09:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T09:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T10:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T10:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T10:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T10:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T11:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
